"","X","Year","Player","Pos","Age","Tm","G","GS","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PPG","APG","RPG","BPG","SPG","MPG","TOPG","PFPG","Salary.in.."
"89",24209,2017,"Robert Covington","SF",26,"PHI",67,67,2119,13.2,0.534,0.563,0.238,4.8,17.9,11.3,7.5,2.9,2.6,13.9,19.2,0,3.2,3.1,0.071,-0.7,2,1.4,1.8,292,732,0.399,137,412,0.333,155,320,0.484,0.492,143,174,0.822,92,344,436,102,127,69,131,203,864,12.8955223880597,1.52238805970149,6.50746268656716,1.02985074626866,1.8955223880597,31.6268656716418,1.95522388059702,3.02985074626866,1015696
"90",24210,2017,"Allen Crabbe","SG",24,"POR",79,7,2254,11.6,0.602,0.467,0.192,0.9,10.2,5.5,6.1,1.2,0.7,8.1,14.9,3.1,1,4.1,0.088,0.3,-1.4,-1.1,0.5,303,647,0.468,134,302,0.444,169,345,0.49,0.572,105,124,0.847,19,206,225,93,54,20,62,171,845,10.6962025316456,1.17721518987342,2.84810126582278,0.253164556962025,0.683544303797468,28.5316455696203,0.784810126582278,2.16455696202532,18500000
"91",24211,2017,"Jamal Crawford","SG",36,"LAC",82,1,2157,12,0.526,0.371,0.234,0.9,5.7,3.3,15.1,1.4,0.5,12.3,22.7,0.5,1.4,1.9,0.042,-1,-2.1,-3,-0.6,359,869,0.413,116,322,0.36,243,547,0.444,0.48,174,203,0.857,17,112,129,213,59,14,134,115,1008,12.2926829268293,2.59756097560976,1.57317073170732,0.170731707317073,0.719512195121951,26.3048780487805,1.63414634146341,1.40243902439024,13253012
"92",24212,2017,"Jordan Crawford","SG",28,"NOP",19,0,442,17.6,0.582,0.436,0.119,0.9,7.2,4.1,22.7,1.2,0.4,9.8,25.5,0.6,0.3,0.9,0.102,2.6,-3,-0.4,0.2,105,218,0.482,37,95,0.389,68,123,0.553,0.567,20,26,0.769,4,30,34,57,11,2,25,30,267,14.0526315789474,3,1.78947368421053,0.105263157894737,0.578947368421053,23.2631578947368,1.31578947368421,1.57894736842105,234915
"93",24213,2017,"Jae Crowder","SF",26,"BOS",72,72,2335,14.9,0.613,0.547,0.301,2.3,17.3,9.9,10.1,1.5,0.8,8.8,17,4.2,2.5,6.7,0.137,1.4,0.1,1.5,2.1,333,720,0.463,157,394,0.398,176,326,0.54,0.572,176,217,0.811,48,367,415,155,72,23,79,161,999,13.875,2.15277777777778,5.76388888888889,0.319444444444444,1,32.4305555555556,1.09722222222222,2.23611111111111,6286408
"94",24214,2017,"Dante Cunningham","SF",29,"NOP",66,35,1649,10.2,0.586,0.504,0.075,3.6,14.2,8.9,3.1,1.2,1.4,7,10.7,1.4,1.6,3,0.088,-1.3,0.8,-0.5,0.6,174,359,0.485,71,181,0.392,103,178,0.579,0.584,16,27,0.593,56,221,277,36,39,28,28,100,435,6.59090909090909,0.545454545454545,4.1969696969697,0.424242424242424,0.590909090909091,24.9848484848485,0.424242424242424,1.51515151515152,2978250
"95",24215,2017,"Seth Curry","PG",26,"DAL",70,42,2029,15.5,0.601,0.458,0.142,1.4,9.2,5.1,15.9,2,0.3,11,19.5,2.9,1.7,4.6,0.109,1.8,-0.4,1.4,1.7,338,703,0.481,137,322,0.425,201,381,0.528,0.578,85,100,0.85,25,153,178,188,79,7,92,126,898,12.8285714285714,2.68571428571429,2.54285714285714,0.1,1.12857142857143,28.9857142857143,1.31428571428571,1.8,2898000
"96",24216,2017,"Stephen Curry","PG",28,"GSW",79,79,2638,24.6,0.624,0.547,0.251,2.7,11.4,7.3,31.1,2.6,0.5,13,30.1,8.6,3.9,12.6,0.229,7.7,-0.4,7.3,6.2,675,1443,0.468,324,789,0.411,351,654,0.537,0.58,325,362,0.898,61,292,353,523,143,17,239,183,1999,25.3037974683544,6.62025316455696,4.46835443037975,0.215189873417722,1.81012658227848,33.3924050632911,3.0253164556962,2.31645569620253,12112359
"97",24217,2017,"Troy Daniels","SG",25,"MEM",67,3,1183,10.4,0.531,0.717,0.109,2,7.9,4.8,6.6,0.9,0.3,8,21.7,0.5,0.8,1.3,0.051,0.3,-3.4,-3.1,-0.3,185,495,0.374,138,355,0.389,47,140,0.336,0.513,43,54,0.796,21,79,100,46,21,4,45,90,551,8.22388059701493,0.686567164179104,1.49253731343284,0.0597014925373134,0.313432835820896,17.6567164179104,0.671641791044776,1.34328358208955,3332940
"98",24218,2017,"Anthony Davis","C",23,"NOP",75,75,2708,27.5,0.579,0.088,0.424,6.7,27.9,17.3,11.1,1.7,5.1,9.1,32.6,5.9,5.1,11,0.196,1.4,2.3,3.7,3.9,770,1527,0.504,40,134,0.299,730,1393,0.524,0.517,519,647,0.802,174,712,886,157,94,167,181,168,2099,27.9866666666667,2.09333333333333,11.8133333333333,2.22666666666667,1.25333333333333,36.1066666666667,2.41333333333333,2.24,22116750
"99",24219,2017,"Deyonta Davis","C",20,"MEM",36,0,238,10.6,0.528,0,0.383,9.3,19.8,14.4,1.3,0.7,6.8,12.7,12,0.1,0.4,0.5,0.097,-5.4,1.8,-3.6,-0.1,24,47,0.511,0,0,0,24,47,0.511,0.511,10,18,0.556,20,40,60,2,3,17,8,40,58,1.61111111111111,0.0555555555555556,1.66666666666667,0.472222222222222,0.0833333333333333,6.61111111111111,0.222222222222222,1.11111111111111,1369229
"100",24220,2017,"Ed Davis","PF",27,"POR",46,12,789,11.5,0.563,0,0.57,13.4,20.7,17.1,4.8,0.9,2.2,17.2,12,1,0.7,1.7,0.104,-2.2,0.2,-2,0,75,142,0.528,0,0,0,75,142,0.528,0.528,50,81,0.617,96,147,243,27,15,22,37,137,200,4.34782608695652,0.58695652173913,5.28260869565217,0.478260869565217,0.326086956521739,17.1521739130435,0.804347826086957,2.97826086956522,6666667
"101",24221,2017,"Dewayne Dedmon","C",27,"SAS",76,37,1330,16,0.645,0,0.359,11.2,30.5,21.1,4.8,1.4,3.7,16.9,12.3,2.2,3,5.2,0.188,-1.5,3.2,1.7,1.2,161,259,0.622,0,0,0,161,259,0.622,0.622,65,93,0.699,129,366,495,44,37,61,61,180,387,5.09210526315789,0.578947368421053,6.51315789473684,0.802631578947368,0.486842105263158,17.5,0.802631578947368,2.36842105263158,2898000
"102",24222,2017,"Sam Dekker","SF",22,"HOU",77,2,1419,13,0.549,0.436,0.159,7.2,14.6,10.9,7.7,1.3,1.2,8.2,14.9,1.9,1.2,3.1,0.105,-0.4,-0.6,-1.1,0.3,203,429,0.473,60,187,0.321,143,242,0.591,0.543,38,68,0.559,94,190,284,76,38,21,41,83,504,6.54545454545455,0.987012987012987,3.68831168831169,0.272727272727273,0.493506493506494,18.4285714285714,0.532467532467532,1.07792207792208,1720560
"103",24223,2017,"Malcolm Delaney","PG",27,"ATL",73,2,1248,7.5,0.456,0.284,0.24,1,9.8,5.5,23.1,1.5,0.1,18.1,18.3,-1.1,1.3,0.1,0.005,-4.6,-1.2,-5.8,-1.2,145,388,0.374,26,110,0.236,119,278,0.428,0.407,75,93,0.806,11,113,124,193,39,1,95,112,391,5.35616438356164,2.64383561643836,1.6986301369863,0.0136986301369863,0.534246575342466,17.0958904109589,1.3013698630137,1.53424657534247,2500000
"104",24224,2017,"Matthew Dellavedova","PG",26,"MIL",76,54,1986,9.4,0.501,0.403,0.18,1.4,7.1,4.3,25.7,1.4,0,18.8,16.3,0.3,0.9,1.2,0.029,-1.9,-2.8,-4.7,-1.4,208,534,0.39,79,215,0.367,129,319,0.404,0.463,82,96,0.854,24,123,147,357,53,0,133,153,577,7.59210526315789,4.69736842105263,1.93421052631579,0,0.697368421052632,26.1315789473684,1.75,2.01315789473684,9607500
"105",24225,2017,"Luol Deng","SF",31,"LAL",56,49,1486,10.1,0.47,0.389,0.149,4.5,17.7,10.8,7,1.6,1.1,8.7,14.2,0.1,0.8,0.9,0.029,-2.3,-0.2,-2.5,-0.2,164,424,0.387,51,165,0.309,113,259,0.436,0.447,46,63,0.73,63,232,295,74,48,20,43,61,425,7.58928571428571,1.32142857142857,5.26785714285714,0.357142857142857,0.857142857142857,26.5357142857143,0.767857142857143,1.08928571428571,1.8e+07
"106",24226,2017,"DeMar DeRozan","SG",27,"TOR",74,74,2620,24,0.552,0.08,0.419,3,13.6,8.3,20.6,1.5,0.4,9,34.3,6.7,2.4,9,0.166,2.4,-1.5,0.9,1.9,721,1545,0.467,33,124,0.266,688,1421,0.484,0.477,545,647,0.842,70,316,386,290,78,13,180,134,2020,27.2972972972973,3.91891891891892,5.21621621621622,0.175675675675676,1.05405405405405,35.4054054054054,2.43243243243243,1.81081081081081,26540100
"107",24227,2017,"Cheick Diallo","PF",20,"NOP",17,0,199,16.8,0.51,0,0.276,12.1,26.7,19.3,3.2,1,2.9,7.6,20.5,0.2,0.3,0.5,0.111,-4.6,-1,-5.6,-0.2,36,76,0.474,0,0,0,36,76,0.474,0.474,15,21,0.714,23,50,73,4,4,7,7,17,87,5.11764705882353,0.235294117647059,4.29411764705882,0.411764705882353,0.235294117647059,11.7058823529412,0.411764705882353,1,543471
"108",24228,2017,"Boris Diaw","PF",34,"UTA",73,33,1283,9,0.494,0.248,0.107,4.3,9.8,7.1,20.3,0.7,0.6,20.3,15.6,-0.1,1.2,1.1,0.041,-2.7,-0.2,-2.9,-0.3,146,327,0.446,20,81,0.247,126,246,0.512,0.477,26,35,0.743,46,112,158,170,18,9,87,83,338,4.63013698630137,2.32876712328767,2.16438356164384,0.123287671232877,0.246575342465753,17.5753424657534,1.19178082191781,1.13698630136986,7e+06
"109",24229,2017,"Gorgui Dieng","PF",27,"MIN",82,82,2653,14.2,0.555,0.065,0.253,8.1,20.5,14.2,8.6,1.7,3.1,12.7,14,3.2,2.5,5.7,0.103,-0.5,2.2,1.7,2.5,332,661,0.502,16,43,0.372,316,618,0.511,0.514,136,167,0.814,188,459,647,158,88,95,107,254,816,9.95121951219512,1.92682926829268,7.89024390243902,1.15853658536585,1.07317073170732,32.3536585365854,1.30487804878049,3.09756097560976,2348783
